,gene,X14d.1,X14d.2,X14d.3,X21d.2,X21d.3,X21d.4,X28d.1,X28d.2,X28d.3,cluster,membership
1,WP_003526223.1,-0.834888069184709,-0.565091556279502,-0.699693187657554,-0.599183154005759,-0.659352737034049,-0.625910409236571,1.42558395136076,1.23931840228629,1.31921675975109,1,0.982605186022605
2,WP_003527142.1,-1.05196005953406,-0.966518641549393,-0.890505603692157,0.335802342902375,-0.487356118503224,-0.298406940840402,1.75641008776888,1.22426871584487,0.378266217603107,1,0.948753306895355
3,WP_003527304.1,-1.14841750953735,-1.15658923671966,-1.2381675647002,0.243166328471127,0.0733434297400996,1.72171454874267,0.624329819048841,0.3953887409385,0.485231444015965,1,0.690989220476896
4,WP_003527365.1,-0.373310552075949,0.418779812783756,-1.24413141699413,-0.629600341720494,-1.18101685407713,-0.0779358285141321,1.79234258934469,0.267114817980287,1.0277577732731,1,0.838990866450501
5,WP_003527577.1,0.0154703786875593,-0.941684585689684,-0.458388153719202,-0.617255587661296,-0.554116792751788,-0.708759135188159,-0.108153417938295,1.60707046191841,1.76581683234245,1,0.807203200688702
6,WP_003527588.1,-0.888428132838083,-0.526738498636294,-0.722823947530809,-0.51446129680466,-0.939660693251141,-0.256340268134342,1.08675708309284,1.06233422465346,1.69936152944903,1,0.969653829981626
7,WP_003528236.1,0.859131623029883,-0.865351499315723,-0.182424665337939,-1.52306796199244,-0.202657163549001,0.190552179993993,1.92771925009097,0.313846744014498,-0.517748506934235,1,0.550264175453098
8,WP_003529250.1,0.692947247755521,-0.0592129297349143,-0.8958431736891,-1.15077165066545,1.53718795864389,-0.381651169679461,1.42850438554091,-0.307668759482649,-0.863491908688747,1,0.326371899872549
9,WP_003529261.1,-1.08023848619231,-0.350076293915223,0.479799389199966,-1.4500560571628,-0.542893880972999,-0.144521778563335,1.38825208256377,1.43733991429786,0.262395110745064,1,0.830693412201171
10,WP_003529293.1,0.38421719196266,1.20516097152767,-2.015413115728,-0.115693551534812,-1.0653102644452,0.990510427136764,0.338589826475092,0.305438942004976,-0.0275004273991522,1,0.400903946843766
11,WP_003529302.1,-1.41572112881555,-1.25806066243135,-1.31344759836702,0.515605093355526,0.647850754151345,0.751206228467395,0.649165343770592,0.753833064806976,0.669568905062082,1,0.786890339859641
12,WP_003529314.1,-0.708892703760076,-0.265848372543622,-0.0667291498885668,-0.875739642534566,-0.888879215574527,-0.987557565582523,1.12159970713834,1.15975161311139,1.51229532963415,1,0.892317975830484
13,WP_003529654.1,-0.803892126611641,-0.653738572234005,-1.29983035236321,0.459153838526404,1.21472673572622,0.616655311526678,-0.875281398749679,1.53808095262237,-0.195874388443144,1,0.419789832862534
14,WP_003529687.1,-0.395105425518199,0.958407626194627,-0.867042307607157,-0.785979833044634,-1.62365095378169,1.36890720089635,0.0702761026169527,0.975438871262905,0.298748718980837,1,0.499132987087837
15,WP_003529782.1,0.192269631001294,0.15119082289312,-0.701047732994937,-0.732195563667052,-1.13285588563066,-1.0641592700756,0.366094569286328,1.6811667420328,1.23953668715472,1,0.627310246349987
16,WP_003529787.1,0.75861302894757,-0.862454269666836,-0.0961600370744449,-1.640695129957,-0.876482599413433,0.916558902632336,0.183075480074235,0.0913088161816723,1.52623580827591,1,0.459710313498198
17,WP_003530238.1,0.817785811337484,-1.20077250516489,0.119344759095059,-1.62669809787911,-0.559149057339541,0.434338239439856,0.0375113362689969,0.368034614986478,1.60960489925566,1,0.471784125286182
18,WP_003530248.1,-0.220276234545519,-0.456131702370789,-0.593576384974771,-0.291353704378444,-0.658402901454652,-0.826020043511867,0.89085993502032,2.31740378134776,-0.162502745132039,1,0.84934041108739
19,WP_003530569.1,-0.593165170843439,0.749230220015018,-0.451171204871489,-1.07639944180123,-1.31245301509109,-0.561898105345242,1.20988730188342,0.744175896376862,1.2917935196772,1,0.645648477567856
20,WP_003530649.1,0.104601422926072,-1.09181271546955,-1.63207755634624,-0.524957965791778,-0.475981824553932,0.717527290611598,1.41524337377977,0.803570404159352,0.683887570684703,1,0.904050478390977
21,WP_003530686.1,0.951267077746121,-0.649656201331147,-0.371625558890221,0.876911481727436,-1.14984266871451,0.0190758727757345,-0.239289427238054,1.73547494786798,-1.17231552394333,1,0.319650617081876
22,WP_003531050.1,-0.692884204516351,-0.599454302940724,-0.919470098345439,-0.538132126008518,-0.315400161877946,-0.513513917739541,1.81213496460672,1.52285117693659,0.24386866988521,1,0.964297539984754
23,WP_003531401.1,-0.875277683955688,-0.670187769297479,0.602877708718591,0.0446638915620136,-1.17523833879319,-0.903483932880711,1.90236097885692,0.650700892540495,0.423584253249051,1,0.764575900770557
24,WP_003531511.1,-0.17959418758439,-0.441513704008894,-0.241101388995805,-0.806769226471621,-1.05387266565581,-1.00048441563393,0.818672572894605,1.6304186391688,1.27424437628704,1,0.85950336060629
25,WP_003531607.1,-0.458212335482775,-0.6442433397862,-0.608861900767517,-0.957420546983238,-0.788557594046854,-0.487952928592116,1.24722264708516,1.2216013804709,1.47642461810264,1,0.973223774896496
