direction	region	gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A485_logFC	A485_FDR	A485_sig	dnf2_logFC	dnf2_FDR	dnf2_sig
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0105081	MtrunA17Chr3g0105081	MtMOT1.3	Molybdate transporter	medtr.A17.gnm5.MtrunA17Chr3	-	29036049	29038987	-4.27454693561126	0.0128775771402011	DOWN	-11.4297913486056	0.000169463206566203	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0362171	MtrunA17Chr8g0362171			medtr.A17.gnm5.MtrunA17Chr8	-	26778759	26779422	-2.34832984328611	0.0350462367989796	DOWN	-8.41709259344685	4.40586324553924e-05	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0485181	MtrunA17Chr6g0485181			medtr.A17.gnm5.MtrunA17Chr6	+	39713170	39716569	-3.5032702699828	0.000148068742134736	DOWN	-7.20050798700578	5.73140426106663e-07	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0277121	MtrunA17Chr2g0277121			medtr.A17.gnm5.MtrunA17Chr2	-	361181	361692	-2.47834013445993	0.0377640991661095	DOWN	-7.00568553317724	7.73496023034009e-05	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0485221	MtrunA17Chr6g0485221			medtr.A17.gnm5.MtrunA17Chr6	-	39735052	39736659	-4.0816284837661	0.0274032446543721	DOWN	-6.94881241709413	0.00211794268960975	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0185431	MtrunA17Chr1g0185431			medtr.A17.gnm5.MtrunA17Chr1	-	35871983	35872742	-2.81899787904199	0.00817717256029521	DOWN	-6.69221292534593	2.03549537698313e-05	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0179951	MtrunA17Chr1g0179951			medtr.A17.gnm5.MtrunA17Chr1	-	31178445	31180794	-2.71588845719677	0.00545097362996331	DOWN	-6.62860462644526	5.3414760359047e-06	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0118221	MtrunA17Chr3g0118221			medtr.A17.gnm5.MtrunA17Chr3	-	38922300	38923884	-3.70696587992401	0.000484397841232506	DOWN	-6.62746256765426	6.73224518737439e-06	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr5g0405511	MtrunA17Chr5g0405511			medtr.A17.gnm5.MtrunA17Chr5	-	8732726	8733399	-2.17156137664594	0.0495437164370498	DOWN	-6.48295439385884	8.06645422613137e-06	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0302911	MtrunA17Chr2g0302911			medtr.A17.gnm5.MtrunA17Chr2	+	20533043	20533757	-2.98519154305288	0.0202106722588769	DOWN	-6.1513985564788	0.000319145818901105	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0029771	MtrunA17Chr4g0029771	MtNCR313b	Nodule-specific Cysteine-Rich peptide	medtr.A17.gnm5.MtrunA17Chr4	+	30509483	30513747	-2.07722971395071	0.0196023076982228	DOWN	-6.0766766648032	1.84650909947916e-06	DOWN
DOWN	A485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0358351	MtrunA17Chr8g0358351	MtNCR504	Nodule-specific Cysteine-Rich peptide	medtr.A17.gnm5.MtrunA17Chr8	-	20529209	20531317	-2.13350903706817	0.0121746011084225	DOWN	-5.85874935022475	2.07186145804508e-06	DOWN
