direction	region	gene_id	gene_name	acronym	geneProduct	chr	strand	start	end	A86485_logFC	A86485_FDR	A86485_sig	dnf2_logFC	dnf2_FDR	dnf2_sig
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr3g0105081	MtrunA17Chr3g0105081	MtMOT1.3	Molybdate transporter	medtr.A17.gnm5.MtrunA17Chr3	-	29036049	29038987	-4.88575556804758	0.0072771415721687	DOWN	-11.4297913486056	0.000169463206566203	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0157821	MtrunA17Chr1g0157821			medtr.A17.gnm5.MtrunA17Chr1	-	8955837	8962178	-6.03920261599577	4.74200430192856e-05	DOWN	-10.049722719822	4.03575772677182e-06	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0184111	MtrunA17Chr1g0184111			medtr.A17.gnm5.MtrunA17Chr1	-	34670203	34676769	-10.0404507868064	0.000501755491352394	DOWN	-10.0404507868064	0.000208174756968017	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr1g0185421	MtrunA17Chr1g0185421			medtr.A17.gnm5.MtrunA17Chr1	+	35869836	35872116	-6.25937542443159	3.48905204941903e-06	DOWN	-8.84709360904241	1.15189761441145e-07	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0295981	MtrunA17Chr2g0295981			medtr.A17.gnm5.MtrunA17Chr2	-	14376384	14377290	-8.84017390284762	0.00166817471782092	DOWN	-8.84017390284762	0.000823157483592511	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr6g0457901	MtrunA17Chr6g0457901			medtr.A17.gnm5.MtrunA17Chr6	-	7541559	7545661	-7.10991316493046	0.00593787417992691	DOWN	-8.76822193878192	0.00239341298273955	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0314151	MtrunA17Chr2g0314151			medtr.A17.gnm5.MtrunA17Chr2	-	36701794	36702270	-5.28297296868948	0.00106178832439876	DOWN	-8.54777551652815	0.00014955157926015	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr4g0054261	MtrunA17Chr4g0054261			medtr.A17.gnm5.MtrunA17Chr4	-	48056823	48059892	-6.87233555833081	0.00188564210009991	DOWN	-8.53064433218227	0.000660393290740857	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr8g0362171	MtrunA17Chr8g0362171			medtr.A17.gnm5.MtrunA17Chr8	-	26778759	26779422	-5.14921135479606	0.000391441703464998	DOWN	-8.41709259344685	4.40586324553924e-05	DOWN
DOWN	A86485_dnf2_shared	medtr.A17.gnm5.ann1_6.MtrunA17Chr2g0306431	MtrunA17Chr2g0306431			medtr.A17.gnm5.MtrunA17Chr2	+	27934353	27934857	-4.60954403348804	0.00143082244530238	DOWN	-8.40979303536675	0.000125967966679609	DOWN
